,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Precious Achiuwa\achiupr01,PF,21,MIA,51,2,12.3,2.1,3.7,0.555,0.0,0.0,,2.1,3.7,0.555,0.555,1.0,1.9,0.505,1.3,2.2,3.5,0.5,0.3,0.5,0.7,1.6,5.1
1,2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,2.6,0.1,1.1,0.125,0.0,0.3,0.0,0.1,0.9,0.167,0.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
2,3,Steven Adams\adamsst01,C,27,NOP,50,50,27.9,3.3,5.4,0.614,0.0,0.1,0.0,3.3,5.4,0.621,0.614,1.0,2.4,0.43,3.9,5.0,8.9,1.9,1.0,0.7,1.5,2.0,7.7
3,4,Bam Adebayo\adebaba01,C,23,MIA,48,48,33.5,7.2,12.7,0.566,0.0,0.2,0.25,7.1,12.5,0.57,0.567,4.6,5.6,0.808,2.4,7.0,9.4,5.3,1.0,1.1,2.6,2.3,19.0
4,5,LaMarcus Aldridge\aldrila01,C,35,TOT,26,23,25.9,5.4,11.4,0.473,1.2,3.1,0.388,4.2,8.3,0.505,0.525,1.6,1.8,0.872,0.7,3.8,4.5,1.9,0.4,1.1,1.0,1.8,13.5
5,5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,25.9,5.5,11.8,0.464,1.3,3.6,0.36,4.2,8.2,0.509,0.518,1.5,1.8,0.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
6,5,LaMarcus Aldridge\aldrila01,C,35,BRK,5,5,26.0,5.0,9.6,0.521,0.8,1.0,0.8,4.2,8.6,0.488,0.563,2.0,2.0,1.0,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8
7,6,Ty-Shon Alexander\alexaty01,SG,22,PHO,8,0,2.9,0.1,1.0,0.125,0.1,0.8,0.167,0.0,0.3,0.0,0.188,0.1,0.3,0.5,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.1,0.5
8,7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,41,10,20.8,3.9,9.2,0.418,1.6,4.6,0.348,2.3,4.7,0.487,0.504,1.0,1.3,0.75,0.2,2.8,3.1,2.0,1.0,0.5,1.4,1.9,10.2
9,8,Grayson Allen\allengr01,SG,25,MEM,39,27,24.8,3.5,8.2,0.425,2.2,5.4,0.396,1.3,2.7,0.481,0.557,1.5,1.6,0.906,0.4,2.8,3.2,2.2,0.9,0.2,1.0,1.4,10.6
10,9,Jarrett Allen\allenja01,C,22,TOT,44,26,28.7,4.8,7.5,0.633,0.1,0.3,0.417,4.6,7.2,0.642,0.641,3.5,4.9,0.704,3.0,6.9,9.9,1.7,0.5,1.7,1.5,1.6,13.1
11,9,Jarrett Allen\allenja01,C,22,BRK,12,5,26.7,3.7,5.4,0.677,0.0,0.0,,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
12,9,Jarrett Allen\allenja01,C,22,CLE,32,21,29.4,5.2,8.3,0.623,0.2,0.4,0.417,5.0,7.9,0.632,0.632,3.3,4.8,0.684,3.0,6.7,9.7,1.7,0.4,1.7,1.3,1.5,13.8
13,10,Al-Farouq Aminu\aminual01,PF,30,TOT,18,14,21.1,2.0,5.0,0.4,0.4,1.8,0.219,1.6,3.2,0.5,0.439,0.9,1.1,0.842,1.1,4.2,5.3,1.6,0.9,0.5,1.5,1.3,5.3
14,10,Al-Farouq Aminu\aminual01,PF,30,ORL,17,14,21.6,2.1,5.2,0.404,0.4,1.8,0.226,1.7,3.4,0.5,0.444,0.8,1.0,0.824,1.2,4.2,5.4,1.7,1.0,0.5,1.5,1.3,5.5
15,10,Al-Farouq Aminu\aminual01,PF,30,CHI,1,0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0
16,11,Kyle Anderson\anderky01,PF,27,MEM,50,50,27.3,4.6,9.7,0.47,1.4,3.8,0.363,3.2,5.9,0.539,0.541,2.0,2.6,0.769,0.8,5.1,5.9,3.5,1.3,0.8,1.3,1.7,12.5
17,12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,45,45,34.0,10.4,18.4,0.565,1.1,3.8,0.302,9.3,14.7,0.632,0.595,6.8,9.9,0.687,1.8,9.6,11.4,6.2,1.1,1.3,3.8,2.9,28.8
18,13,Kostas Antetokounmpo\antetko01,PF,23,LAL,12,0,3.4,0.3,0.6,0.429,0.0,0.0,,0.3,0.6,0.429,0.429,0.3,0.6,0.429,0.3,0.8,1.1,0.1,0.2,0.3,0.8,0.5,0.8
19,14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,41,2,10.9,1.6,2.9,0.547,0.2,0.6,0.304,1.4,2.3,0.606,0.577,0.4,0.9,0.486,1.1,1.4,2.5,0.8,0.4,0.2,0.9,1.4,3.7
20,15,Carmelo Anthony\anthoca01,PF,36,POR,53,3,25.1,4.8,11.5,0.413,1.7,4.5,0.382,3.0,7.0,0.434,0.489,2.1,2.4,0.874,0.5,2.7,3.2,1.6,0.7,0.6,1.0,2.2,13.3
21,16,Cole Anthony\anthoco01,PG,20,ORL,29,17,26.4,4.1,11.0,0.373,1.0,3.3,0.299,3.1,7.7,0.405,0.418,1.8,2.2,0.841,0.9,3.6,4.5,3.9,0.7,0.4,1.9,2.1,11.0
22,17,OG Anunoby\anunoog01,SF,23,TOR,36,36,33.0,5.3,11.3,0.473,2.2,5.8,0.386,3.1,5.5,0.563,0.571,1.7,2.3,0.753,1.4,4.3,5.7,2.0,1.6,0.7,1.8,2.8,14.6
23,18,Ryan Arcidiacono\arcidry01,PG,26,CHI,31,0,10.7,1.1,2.8,0.379,0.5,1.6,0.314,0.5,1.2,0.472,0.471,0.4,0.5,0.75,0.1,1.4,1.5,1.4,0.2,0.0,0.2,1.1,3.0
24,19,Trevor Ariza\arizatr01,SF,35,MIA,13,10,24.8,2.3,6.9,0.333,1.1,3.8,0.28,1.2,3.1,0.4,0.411,1.2,1.6,0.762,0.5,3.4,3.8,1.5,0.7,0.6,0.5,1.5,6.9
25,20,D.J. Augustin\augusdj01,PG,33,TOT,51,6,19.2,2.2,5.6,0.385,1.3,3.5,0.374,0.8,2.1,0.402,0.502,1.4,1.5,0.932,0.4,1.3,1.6,3.3,0.5,0.0,1.1,1.0,7.0
26,20,D.J. Augustin\augusdj01,PG,33,MIL,37,6,19.3,1.9,5.2,0.37,1.3,3.5,0.38,0.6,1.7,0.349,0.497,1.0,1.1,0.9,0.3,1.1,1.4,3.0,0.5,0.0,0.9,0.9,6.1
27,20,D.J. Augustin\augusdj01,PG,33,HOU,14,0,19.1,2.8,6.7,0.415,1.3,3.6,0.36,1.5,3.1,0.477,0.511,2.4,2.4,0.971,0.5,1.8,2.3,4.0,0.4,0.0,1.5,1.3,9.2
28,21,Deni Avdija\avdijde01,SF,20,WAS,49,27,23.3,2.4,5.8,0.416,1.0,3.2,0.325,1.4,2.6,0.527,0.505,0.6,0.9,0.643,0.4,4.5,4.9,1.2,0.6,0.2,0.6,2.7,6.4
29,22,Deandre Ayton\aytonde01,C,22,PHO,54,54,30.5,6.5,10.5,0.62,0.1,0.4,0.2,6.4,10.1,0.636,0.624,1.9,2.6,0.75,3.3,7.5,10.8,1.4,0.5,1.1,1.7,2.9,15.0
30,23,Udoka Azubuike\azubuud01,C,21,UTA,12,0,4.1,0.3,0.6,0.571,0.0,0.0,,0.3,0.6,0.571,0.571,0.3,0.5,0.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0
31,24,Dwayne Bacon\bacondw01,SG,25,ORL,54,36,25.5,3.8,9.6,0.393,0.9,3.0,0.304,2.9,6.7,0.433,0.44,1.8,2.1,0.836,0.3,2.7,3.1,1.2,0.5,0.1,0.6,1.6,10.3
32,25,Marvin Bagley III\baglema01,PF,21,SAC,37,37,25.7,5.6,11.2,0.502,0.9,2.6,0.354,4.7,8.6,0.547,0.543,1.6,2.9,0.56,2.5,5.0,7.4,0.9,0.5,0.5,1.3,2.4,13.9
33,26,LaMelo Ball\ballla01,PG,19,CHO,41,21,28.6,5.8,12.8,0.451,2.0,5.3,0.375,3.8,7.6,0.503,0.528,2.4,3.0,0.789,1.3,4.5,5.9,6.1,1.6,0.3,2.8,2.8,15.9
34,27,Lonzo Ball\balllo01,PG,23,NOP,41,41,31.7,5.2,12.3,0.424,3.1,8.1,0.384,2.1,4.2,0.5,0.55,0.9,1.2,0.792,0.6,3.6,4.2,5.7,1.4,0.6,2.0,2.0,14.5
35,28,Mo Bamba\bambamo01,C,22,ORL,32,0,12.3,2.6,5.4,0.486,0.8,2.0,0.385,1.8,3.4,0.546,0.558,0.6,1.0,0.606,1.3,2.9,4.3,0.5,0.2,1.0,0.6,1.7,6.7
36,29,Desmond Bane\banede01,SG,22,MEM,48,11,22.4,3.6,7.5,0.475,1.8,3.9,0.454,1.8,3.7,0.497,0.591,0.6,0.8,0.811,0.4,2.8,3.1,1.5,0.7,0.2,1.0,1.9,9.5
