Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,51,2,12.3,2.1,3.7,.555,0.0,0.0,,2.1,3.7,.555,.555,1.0,1.9,.505,1.3,2.2,3.5,0.5,0.3,0.5,0.7,1.6,5.1
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
3,Steven Adams\adamsst01,C,27,NOP,50,50,27.9,3.3,5.4,.614,0.0,0.1,.000,3.3,5.4,.621,.614,1.0,2.4,.430,3.9,5.0,8.9,1.9,1.0,0.7,1.5,2.0,7.7
4,Bam Adebayo\adebaba01,C,23,MIA,48,48,33.5,7.2,12.7,.566,0.0,0.2,.250,7.1,12.5,.570,.567,4.6,5.6,.808,2.4,7.0,9.4,5.3,1.0,1.1,2.6,2.3,19.0
5,LaMarcus Aldridge\aldrila01,C,35,TOT,26,23,25.9,5.4,11.4,.473,1.2,3.1,.388,4.2,8.3,.505,.525,1.6,1.8,.872,0.7,3.8,4.5,1.9,0.4,1.1,1.0,1.8,13.5
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
5,LaMarcus Aldridge\aldrila01,C,35,BRK,5,5,26.0,5.0,9.6,.521,0.8,1.0,.800,4.2,8.6,.488,.563,2.0,2.0,1.000,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,8,0,2.9,0.1,1.0,.125,0.1,0.8,.167,0.0,0.3,.000,.188,0.1,0.3,.500,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.1,0.5
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,41,10,20.8,3.9,9.2,.418,1.6,4.6,.348,2.3,4.7,.487,.504,1.0,1.3,.750,0.2,2.8,3.1,2.0,1.0,0.5,1.4,1.9,10.2
8,Grayson Allen\allengr01,SG,25,MEM,39,27,24.8,3.5,8.2,.425,2.2,5.4,.396,1.3,2.7,.481,.557,1.5,1.6,.906,0.4,2.8,3.2,2.2,0.9,0.2,1.0,1.4,10.6
9,Jarrett Allen\allenja01,C,22,TOT,44,26,28.7,4.8,7.5,.633,0.1,0.3,.417,4.6,7.2,.642,.641,3.5,4.9,.704,3.0,6.9,9.9,1.7,0.5,1.7,1.5,1.6,13.1
9,Jarrett Allen\allenja01,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
9,Jarrett Allen\allenja01,C,22,CLE,32,21,29.4,5.2,8.3,.623,0.2,0.4,.417,5.0,7.9,.632,.632,3.3,4.8,.684,3.0,6.7,9.7,1.7,0.4,1.7,1.3,1.5,13.8
10,Al-Farouq Aminu\aminual01,PF,30,TOT,18,14,21.1,2.0,5.0,.400,0.4,1.8,.219,1.6,3.2,.500,.439,0.9,1.1,.842,1.1,4.2,5.3,1.6,0.9,0.5,1.5,1.3,5.3
10,Al-Farouq Aminu\aminual01,PF,30,ORL,17,14,21.6,2.1,5.2,.404,0.4,1.8,.226,1.7,3.4,.500,.444,0.8,1.0,.824,1.2,4.2,5.4,1.7,1.0,0.5,1.5,1.3,5.5
10,Al-Farouq Aminu\aminual01,PF,30,CHI,1,0,12.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,2.0,2.0,1.000,0.0,5.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0
11,Kyle Anderson\anderky01,PF,27,MEM,50,50,27.3,4.6,9.7,.470,1.4,3.8,.363,3.2,5.9,.539,.541,2.0,2.6,.769,0.8,5.1,5.9,3.5,1.3,0.8,1.3,1.7,12.5
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,45,45,34.0,10.4,18.4,.565,1.1,3.8,.302,9.3,14.7,.632,.595,6.8,9.9,.687,1.8,9.6,11.4,6.2,1.1,1.3,3.8,2.9,28.8
