Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,51,2,626,106,191,.555,0,0,,106,191,.555,.555,50,99,.505,66,114,180,25,17,26,38,81,262
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,18,1,8,.125,0,2,.000,1,6,.167,.125,0,0,,0,3,3,2,0,0,0,1,2
3,Steven Adams\adamsst01,C,27,NOP,50,50,1394,167,272,.614,0,3,.000,167,269,.621,.614,52,121,.430,194,251,445,95,49,33,73,101,386
4,Bam Adebayo\adebaba01,C,23,MIA,48,48,1609,345,610,.566,2,8,.250,343,602,.570,.567,219,271,.808,113,338,451,256,46,55,126,108,911
5,LaMarcus Aldridge\aldrila01,C,35,TOT,26,23,674,140,296,.473,31,80,.388,109,216,.505,.525,41,47,.872,19,99,118,49,11,29,27,47,352
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,544,115,248,.464,27,75,.360,88,173,.509,.518,31,37,.838,17,77,94,36,8,18,20,36,288
5,LaMarcus Aldridge\aldrila01,C,35,BRK,5,5,130,25,48,.521,4,5,.800,21,43,.488,.563,10,10,1.000,2,22,24,13,3,11,7,11,64
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,8,0,23,1,8,.125,1,6,.167,0,2,.000,.188,1,2,.500,0,3,3,1,0,0,0,1,4
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,41,10,851,158,378,.418,65,187,.348,93,191,.487,.504,39,52,.750,10,116,126,81,40,21,57,77,420
8,Grayson Allen\allengr01,SG,25,MEM,39,27,966,135,318,.425,84,212,.396,51,106,.481,.557,58,64,.906,15,109,124,86,37,7,40,55,412
9,Jarrett Allen\allenja01,C,22,TOT,44,26,1262,209,330,.633,5,12,.417,204,318,.642,.641,152,216,.704,134,302,436,74,20,74,65,70,575
9,Jarrett Allen\allenja01,C,22,BRK,12,5,320,44,65,.677,0,0,,44,65,.677,.677,46,61,.754,38,87,125,20,7,19,22,21,134
9,Jarrett Allen\allenja01,C,22,CLE,32,21,942,165,265,.623,5,12,.417,160,253,.632,.632,106,155,.684,96,215,311,54,13,55,43,49,441
10,Al-Farouq Aminu\aminual01,PF,30,TOT,18,14,379,36,90,.400,7,32,.219,29,58,.500,.439,16,19,.842,20,76,96,29,17,9,27,24,95
10,Al-Farouq Aminu\aminual01,PF,30,ORL,17,14,367,36,89,.404,7,31,.226,29,58,.500,.444,14,17,.824,20,71,91,29,17,9,25,22,93
10,Al-Farouq Aminu\aminual01,PF,30,CHI,1,0,12,0,1,.000,0,1,.000,0,0,,.000,2,2,1.000,0,5,5,0,0,0,2,2,2
11,Kyle Anderson\anderky01,PF,27,MEM,50,50,1364,228,485,.470,69,190,.363,159,295,.539,.541,100,130,.769,38,255,293,176,64,38,67,83,625
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,45,45,1529,468,829,.565,51,169,.302,417,660,.632,.595,307,447,.687,80,432,512,277,51,60,169,129,1294
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,12,0,41,3,7,.429,0,0,,3,7,.429,.429,3,7,.429,3,10,13,1,2,3,9,6,9
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,41,2,448,64,117,.547,7,23,.304,57,94,.606,.577,17,35,.486,44,58,102,34,16,9,35,58,152
15,Carmelo Anthony\anthoca01,PF,36,POR,53,3,1331,252,610,.413,92,241,.382,160,369,.434,.489,111,127,.874,26,144,170,83,39,34,53,114,707
16,Cole Anthony\anthoco01,PG,20,ORL,29,17,766,119,319,.373,29,97,.299,90,222,.405,.418,53,63,.841,26,105,131,114,19,13,56,60,320
17,OG Anunoby\anunoog01,SF,23,TOR,36,36,1187,192,406,.473,80,207,.386,112,199,.563,.571,61,81,.753,51,155,206,72,57,26,63,100,525
18,Ryan Arcidiacono\arcidry01,PG,26,CHI,31,0,333,33,87,.379,16,51,.314,17,36,.472,.471,12,16,.750,3,44,47,42,7,0,7,35,94
19,Trevor Ariza\arizatr01,SF,35,MIA,13,10,323,30,90,.333,14,50,.280,16,40,.400,.411,16,21,.762,6,44,50,20,9,8,6,19,90
20,D.J. Augustin\augusdj01,PG,33,TOT,51,6,981,110,286,.385,67,179,.374,43,107,.402,.502,69,74,.932,18,64,82,166,26,1,55,51,356
20,D.J. Augustin\augusdj01,PG,33,MIL,37,6,713,71,192,.370,49,129,.380,22,63,.349,.497,36,40,.900,11,39,50,110,20,1,34,33,227
20,D.J. Augustin\augusdj01,PG,33,HOU,14,0,268,39,94,.415,18,50,.360,21,44,.477,.511,33,34,.971,7,25,32,56,6,0,21,18,129
21,Deni Avdija\avdijde01,SF,20,WAS,49,27,1142,119,286,.416,51,157,.325,68,129,.527,.505,27,42,.643,20,220,240,59,27,12,31,132,316
22,Deandre Ayton\aytonde01,C,22,PHO,54,54,1649,351,566,.620,4,20,.200,347,546,.636,.624,105,140,.750,177,405,582,78,28,62,93,159,811
23,Udoka Azubuike\azubuud01,C,21,UTA,12,0,49,4,7,.571,0,0,,4,7,.571,.571,4,6,.667,4,9,13,0,1,4,3,8,12
24,Dwayne Bacon\bacondw01,SG,25,ORL,54,36,1376,205,521,.393,49,161,.304,156,360,.433,.440,97,116,.836,18,147,165,67,29,4,35,85,556
25,Marvin Bagley III\baglema01,PF,21,SAC,37,37,951,209,416,.502,34,96,.354,175,320,.547,.543,61,109,.560,91,184,275,35,18,19,49,90,513
26,LaMelo Ball\ballla01,PG,19,CHO,41,21,1174,237,526,.451,81,216,.375,156,310,.503,.528,97,123,.789,54,186,240,251,65,14,115,116,652
27,Lonzo Ball\balllo01,PG,23,NOP,41,41,1300,214,505,.424,127,331,.384,87,174,.500,.550,38,48,.792,25,146,171,234,57,23,84,83,593
28,Mo Bamba\bambamo01,C,22,ORL,32,0,394,84,173,.486,25,65,.385,59,108,.546,.558,20,33,.606,42,94,136,15,6,31,20,53,213
29,Desmond Bane\banede01,SG,22,MEM,48,11,1077,172,362,.475,84,185,.454,88,177,.497,.591,30,37,.811,18,132,150,73,32,10,46,93,458
30,Harrison Barnes\barneha02,PF,28,SAC,51,51,1845,271,556,.487,76,211,.360,195,345,.565,.556,175,212,.825,60,284,344,179,41,10,76,68,793
31,RJ Barrett\barrerj01,SG,20,NYK,55,55,1868,359,798,.450,76,201,.378,283,597,.474,.497,164,223,.735,57,258,315,166,42,14,108,141,958
32,Will Barton\bartowi01,SF,30,DEN,51,47,1602,241,558,.432,88,232,.379,153,326,.469,.511,81,104,.779,37,175,212,164,47,22,87,85,651
33,Keita Bates-Diop\bateske01,SF,25,SAS,17,0,123,13,35,.371,5,15,.333,8,20,.400,.443,7,10,.700,5,16,21,7,6,1,1,6,38
34,Nicolas Batum\batumni01,SF,32,LAC,53,38,1506,160,343,.466,95,227,.419,65,116,.560,.605,43,51,.843,44,219,263,124,59,27,44,86,458
35,Aron Baynes\baynear01,C,34,TOR,50,31,912,121,281,.431,22,93,.237,99,188,.527,.470,27,37,.730,83,171,254,43,15,20,43,113,291
36,Kent Bazemore\bazemke01,SF,31,GSW,52,3,905,118,267,.442,50,125,.400,68,142,.479,.536,38,54,.704,21,133,154,82,46,25,57,115,324
37,Darius Bazley\bazleda01,PF,20,OKC,38,38,1169,168,424,.396,58,195,.297,110,229,.480,.465,57,83,.687,23,257,280,59,19,23,73,34,451
38,Bradley Beal\bealbr01,SG,27,WAS,44,44,1551,481,992,.485,97,282,.344,384,710,.541,.534,305,341,.894,51,162,213,212,51,16,145,107,1364
39,Malik Beasley\beaslma01,SG,24,MIN,37,36,1214,264,600,.440,128,321,.399,136,279,.487,.547,68,80,.850,28,134,162,88,30,7,60,62,724
40,Jordan Bell\belljo01,C,26,WAS,3,1,50,5,15,.333,0,2,.000,5,13,.385,.333,0,0,,5,11,16,5,1,3,3,4,10
41,DeAndre' Bembry\bembrde01,SF,26,TOR,37,11,674,81,149,.544,9,33,.273,72,116,.621,.574,26,39,.667,23,75,98,74,31,14,44,59,197
42,Dāvis Bertāns\bertada01,PF,28,WAS,40,5,981,132,328,.402,116,293,.396,16,35,.457,.579,65,75,.867,15,103,118,35,25,9,25,98,445
43,Patrick Beverley\beverpa01,PG,32,LAC,31,31,726,82,190,.432,52,125,.416,30,65,.462,.568,33,41,.805,27,84,111,65,26,24,27,97,249
44,Saddiq Bey\beysa01,SF,21,DET,52,35,1306,189,460,.411,120,314,.382,69,146,.473,.541,84,95,.884,27,179,206,66,37,5,40,86,582
45,Tyler Bey\beyty01,SF,22,DAL,11,0,38,4,12,.333,0,1,.000,4,11,.364,.333,2,4,.500,5,8,13,1,0,1,0,4,10
46,Khem Birch\birchkh01,C,28,TOT,50,5,995,101,219,.461,5,23,.217,96,196,.490,.473,65,90,.722,122,133,255,53,34,29,25,69,272
46,Khem Birch\birchkh01,C,28,ORL,48,5,952,94,209,.450,4,21,.190,90,188,.479,.459,63,85,.741,117,126,243,53,32,28,23,67,255
46,Khem Birch\birchkh01,C,28,TOR,2,0,43,7,10,.700,1,2,.500,6,8,.750,.750,2,5,.400,5,7,12,0,2,1,2,2,17
